"Production
Budget",Worldwide Gross
460000000,2319591720
400000000,2788912285
379000000,1045713802
365000000,1395316979
340000000,714581860
306000000,2064615817
300000000,2048359754
300000000,960996492
300000000,655945209
300000000,381561976
290000000,566325939
275000000,1072767997
275000000,393151347
274800000,199932238
263700000,282778100
263000000,872395091
262000000,1331635141
260000000,1646106779
260000000,582440151
258000000,894860230
250000000,853985546
250000000,1151899586
250000000,845468744
250000000,760928081
250000000,929411069
250000000,568345048
250000000,959358436
250000000,940323039
250000000,1235534014
250000000,758929771
245000000,879077344
237000000,2923706026
232000000,391081192
230000000,1082228107
230000000,794861794
230000000,591692078
225000000,1515100211
225000000,1066179725
225000000,667999518
225000000,417341288
225000000,260002115
220000000,757890267
220000000,313477717
217000000,602893340
215000000,1669963641
215000000,654213485
210000000,836519699
210000000,1104054072
210000000,459260946
210000000,322459006
207000000,550517357
205000000,367262558
205000000,360240189
205000000,138514322
200000000,1907836254
200000000,1336494320
200000000,2222985568
200000000,1242805359
200000000,1055083596
200000000,1025006125
200000000,1072817964
200000000,1068879522
200000000,952224986
200000000,1215392272
200000000,869087963
200000000,794697557
200000000,765950479
200000000,1025491110
200000000,1110526981
200000000,1014938545
200000000,743455810
200000000,490359051
200000000,747862775
200000000,463635303
200000000,708996336
200000000,560155383
200000000,379751131
200000000,760732926
200000000,719360510
200000000,399866199
200000000,390323855
200000000,757677748
200000000,401731759
200000000,648455339
200000000,486663342
200000000,365491792
200000000,218768299
200000000,210469803
200000000,219535492
200000000,266516138
200000000,404560145
200000000,336359676
200000000,156199476
200000000,246356895
200000000,133357601
200000000,201106000
200000000,145877217
200000000,166360232
200000000,69973540
200000000,19220000
