id,current_user_id,app_id,app_version,device_type,udid,platform,created_at,updated_at,token,store,adjust_id,google_ad_id
185821119,15019283,3,5.6.6,PWA,6a43c59c-ea54-4991-b84a-cada1bf9ce33,PWA,2023-12-19 01:21:32,2023-12-19 01:21:32,,Bazzar,,
185821118,7057980,3,5.6.6,SUPERAPP,215c016a-7ea1-45ef-933e-79f328c27a2a,SUPERAPP,2023-12-19 01:21:27,2023-12-19 01:21:27,,Bazzar,,
185821117,21396719,3,5.6.6,IRANCELL,a14043d2-7b41-4973-9aa5-b0b6229eda85,IRANCELL,2023-12-19 01:21:25,2023-12-19 01:21:26,,Bazzar,,
185821116,4896220,7,4.0.1.23,VTS-PWA-Android,2462e262ad03b009,ANDROID,2023-12-19 01:21:24,2023-12-19 01:21:24,cgcaCZ69Roa1cDgeHgqBLE:APA91bHvC03RxJCAuqKgAI_eovqBWLtm9RVNX9XIWiR8OXS0UPbdna3tyYtxLKibH0Xkv9Pycu6jz1OCdukhhRmmKxKN88WWbONePHwdF5yicd2JhCiMykR0R3Ik3OxPYtrTDIosl3ty,Bazzar,,
185821115,14522758,3,5.6.6,IRANCELL,03f08e91-d7e1-4c48-a0b8-e164dc3e298b,IRANCELL,2023-12-19 01:21:23,2023-12-19 01:21:23,,Bazzar,,
185821114,21638213,3,8.1.1,WEBSITE,28791ca5-25bf-4745-8b1f-e55205c99402,WEBSITE,2023-12-19 01:21:22,2023-12-19 01:21:22,,Bazzar,,
185821113,16448644,3,5.6.6,PWA,87f0eac7-506c-4c99-ac4c-84d3bd4d4fa1,PWA,2023-12-19 01:21:22,2023-12-19 01:21:22,,Bazzar,,
185821112,12783529,3,5.6.6,IRANCELL,1a0583ab-051e-4a27-8a16-5b88ae1ebc09,IRANCELL,2023-12-19 01:21:18,2023-12-19 01:21:18,,Bazzar,,
185821111,14344623,3,5.6.6,SUPERAPP,296af3bf-c0d7-4e06-8e00-978dcf2cc3fe,SUPERAPP,2023-12-19 01:21:15,2023-12-19 01:21:15,,Bazzar,,
185821110,21019432,7,4.0.1.23,VTS-PWA-Android,4ac0e4b8f01f67e1,ANDROID,2023-12-19 01:21:13,2023-12-19 01:21:13,deMMLoWtAWSuZGXhio1JXZ:APA91bH6zPejyf4tcqkzG2E-QR5u0NabuQfIrOCJio-eilr4J8kcYNd_irR7RO2MqzaI2O3soqrwsC-fupKkoCKb3SuJqPguPJU-hcGNLYhtNAJSxOtaGdcTn6reE4_PMUiQi0D0vbi6,Bazzar,,
