id,app_id,app_version,app_name,store,tracker,tracker_name,is_organic,click_referrer,adjust_created_at,installed_at,created_at,ad_id,idfa,android_id,push_token,conversion_duration,gps_adid,match_type,random_user_id,last_tracker_name,uninstalled_at,country_subdivision,city
7375959,com.zoodfood.android.play,5.0.8,com.zoodfood.android,google,s8oh3k,Organic,1,,1623265873,1623264609,2021-06-22 20:00:22,c85744939370260b0c9ccba0c9779ada,,cf48202f-128b-45bc-8a8c-5d1c84175673,c0tC5X7hSpa5E9QwbKlGMb:APA91bGmto5yzMG3Sj1eXMVQSS_4pdr3u5O5np0inOA1T-ChhMjRUTicvDa25TFEuje0MVTN7l1_J7VGNvy8L7gw2rzehyBDV1Fk2RNZxprUHEE5S7wYiqS0FcIMPn0tLnGSsdwNe8wO,,cf48202f-128b-45bc-8a8c-5d1c84175673,,,,,,
7375958,com.zoodfood.android.play,5.0.6,com.zoodfood.android.play,google,s8oh3k,Organic,1,,1624375782,1624375780,2021-06-22 20:00:15,2cc27e1f6ac4865d0f3b6ac437391f94,,36c4f91d-acfc-4e36-95b6-ba437c5c8166,dRE2j7RdNQI:APA91bEXtzFP_X2okPYstklCgONCQGQAVBt5JizBjCbQpdJmYC3pILOo-6MfkD8b1ghTCHOgfeF9eUKCIln6YchQNnPLtdws3l-p4Z53YHJ4J4Va5Q_I9x5r-cEFfgDVk2MytD-NKSTA,,36c4f91d-acfc-4e36-95b6-ba437c5c8166,,,,,,
7375957,com.zoodfood.android.play,5.0.6,com.zoodfood.android.play,google,s8oh3k,Organic,1,,1624375776,1624375776,2021-06-22 20:00:12,2404de07b323932a235b7789cd2ea469,,78e7a33e-d2c9-4a87-a602-b8fb13c8034e,cWmRBVjf_YM:APA91bGtSzMSkLRVJfwfcqY9jFU182GlKkS83b-UK_vNmqqMY6ima1Arvqrx828SfrEafwcMb1FkifUTeZFfCmCbmbtHG589NmR9DWBZ_g5Ik9SuMMkXu5S3AnP4vzjNDUYu5UT0pWnh,,78e7a33e-d2c9-4a87-a602-b8fb13c8034e,,,,,,
7375956,com.zoodfood.android.play,5.0.6,com.zoodfood.android.play,google,s8oh3k,Organic,1,,1624375767,1624375767,2021-06-22 19:59:59,909a833aa5135b56bfb6b767a93dc38f,,ba22bf9b-553e-4433-a17c-795dd276654f,dtfYV0LH2bU:APA91bGm_Nh7M-X0I2zbrR8ZGAoM7XgKPapw43BeWLVFKtI21B40ObgIPzVw3GUvZx6UDk8oCReIdqJ_i6c7vctAZ0oQyudYIDoxaLo2BeueKSI87PxJsor91eTNjWTbhHpumNXIN7z9,,ba22bf9b-553e-4433-a17c-795dd276654f,,,,,,
7375955,com.zoodfood.android.play,5.0.6,com.zoodfood.android.play,google,s8oh3k,Organic,1,,1624375756,1624375755,2021-06-22 19:59:53,784d87dc7a7d295cd033cb100485035d,,001fafb4-dae1-45db-b7cd-fdc91629a4d5,evGG_wwBHrg:APA91bE0liCRzTUF7YHVn0R-2ihQXANIbA3ZBfdoGlLVjrBTL6tsXrXnLqfHi9tZtm-a3sGtodlFNglvLc1ASGrwCQ1IFNH3Ol1jH4fyh6RdFplPInhizl663QzOlTyK7RKu8dEeZzId,,001fafb4-dae1-45db-b7cd-fdc91629a4d5,,,,,,
7375954,com.zoodfood.android.play,5.0.4,com.zoodfood.android.play,google,s8oh3k,Organic,1,,1624375751,1624375750,2021-06-22 19:59:42,cf81dc613da5b81faae109d0a07532d0,,626a734e-f725-47c2-91f1-685f32baca2e,cB12L5qOHZM:APA91bFiCCLmjH182A5QwQoDGQ_oDq0Gt6D7eVIdnxn-XbeE8ivBdHlRzQCNLtBcFO-qaLe605SG4vOdntwmW9caryd90DyHApqVZtct-UrA6OooZMV03A6NHYE_RTVIa7IxS-wMw6Kp,,626a734e-f725-47c2-91f1-685f32baca2e,,,,,,
7375953,com.zoodfood.android.play,5.0.6,com.zoodfood.android.play,google,s8oh3k,Organic,1,,1624375732,1624375731,2021-06-22 19:59:25,0cec95b0114c088009ab66b2500fe7ea,,97d46f8f-be86-42ed-9ca1-cc7cb85d648c,cHCjP67HZLo:APA91bGrwuCQ13uMRC-yUEDT_-gXEq3kr0AE9BZHQd5c7yOENj--GFqy30jBmH8ndl4UOlmiZo2mAGWuE7Lw-PYytXzv6Zuk-uovZXcGcsATlKkvrndDhw_weKiorB55GPxW8-nc3Iee,,97d46f8f-be86-42ed-9ca1-cc7cb85d648c,,,,,,
7375952,com.zoodfood.android.play,5.0.6,com.zoodfood.android,google,s8oh3k,Organic,1,,1624375729,1624375729,2021-06-22 19:59:21,9daa6395f0b127d0e96287fc921e2fa5,,5919864e-43d3-4a71-8485-57a7fa8cb779,ePIigppmrsY:APA91bE6Kake8b0-CVCqfLUIinT-TyiSbQWUu3Z9SBrBZC9Ryt5IGcfusFSk3YRizTR2Tvxvv1IDbCeBs2RNM8UULtT1bCOJQaGBuwM4eBQlv7oR_Rhb1NHM0d4zlQTr7ZYePzg2qtC4,,5919864e-43d3-4a71-8485-57a7fa8cb779,,,,,,
7375951,com.zoodfood.android.play,5.0.6,com.zoodfood.android.play,google,s8oh3k,Organic,1,,1624375714,1624375711,2021-06-22 19:59:06,7e9ed3006313e8da40a28d9797aa5ad0,,322bbe6c-c3f6-4237-9a1b-63aa0d6ab3f9,dNKDE6JLTW8:APA91bHAtTeakWjqvi5jCVuRROIc8ANSlLUbmYkt9O6e892vKu13MAgxqf4mYPpwnPLiMZYnk_lZ3FIJezhBXH17we0aLPc3TKa6Y52ypVAkHUD6I0BRAgldgRxzyT69Llo9lgFRUSsb,,322bbe6c-c3f6-4237-9a1b-63aa0d6ab3f9,,,,,,
7375950,com.zoodfood.android.play,5.0.7,com.zoodfood.android,google,s8oh3k,Organic,1,,1624375693,1624375690,2021-06-22 19:58:46,e1925f4303613c658c8816975268755e,,3857f823-39bb-47aa-a25d-43e21ade2881,cg8G6iJo_mA:APA91bHlMmil7oR8y4U-blGXdt8A-B9Wh9ml4Ua_o1lAKFRvMJZyv0N3nvC3uePG8vq6mV58WvSJsNLBoqWN-KXR8CVQJcHXVMfzcXck7zOwKFJ5uJl2_73HKr1hrEDZ1GnRD0pv4ZaE,,3857f823-39bb-47aa-a25d-43e21ade2881,,,,,,
