id,order_id,customer_ip,pre_order_only,sent_to_express,zoodfood_comment,created_at,updated_at,locale,has_delivery_guaranty,unpaid_delta_settlement,estimated_delivery_time,estimated_rider_pickup_time,negative_credit_to_pay,accepted_delivery_time,accepted_rider_pickup_time,segment_group_id,expected_delay_time
372968092,377222761,5.112.242.93,0,0,,2023-12-10 02:52:55,2023-12-10 02:52:55,fa,0,0,30,18,0,30,18,,0
372968091,377222760,38.110.1.183,0,0,,2023-12-10 02:52:51,2023-12-10 02:52:51,fa,0,0,40,19,0,40,19,,0
372968090,377222759,5.112.242.93,0,0,,2023-12-10 02:52:36,2023-12-10 02:52:36,fa,0,0,30,18,0,30,18,,0
372968089,377222758,213.207.202.241,0,0,,2023-12-10 02:52:34,2023-12-10 02:52:34,fa,0,0,35,16,0,35,16,,0
372968088,377222757,5.122.156.214,0,0,,2023-12-10 02:51:28,2023-12-10 02:51:28,fa,0,0,50,19,0,50,19,,0
372968087,377222756,185.129.234.24,0,0,,2023-12-10 02:50:21,2023-12-10 02:50:21,fa,0,0,36,15,0,36,15,,0
372968086,377222755,5.211.172.74,0,0,,2023-12-10 02:50:18,2023-12-10 02:50:18,fa,0,0,39,19,0,39,19,,0
372968085,377222754,5.124.71.249,0,0,,2023-12-10 02:48:17,2023-12-10 02:48:17,fa,0,0,43,19,0,43,19,,0
372968084,377222753,5.121.69.78,0,0,,2023-12-10 02:47:34,2023-12-10 02:47:34,fa,0,0,18,18,0,18,18,,0
372968083,377222752,5.121.69.78,0,0,,2023-12-10 02:47:04,2023-12-10 02:47:04,fa,0,0,18,18,0,18,18,,0
372968082,377222751,5.75.212.86,0,0,,2023-12-10 02:45:44,2023-12-10 02:45:44,fa,1,0,31,19,0,31,19,,0
372968081,377222750,89.199.206.247,0,0,,2023-12-10 02:44:50,2023-12-10 02:44:50,fa,0,0,57,45,0,57,45,,0
372968080,377222749,94.130.34.138,0,0,,2023-12-10 02:44:18,2023-12-10 02:44:18,fa,0,0,41,19,0,41,19,,0
372968079,377222748,5.75.212.86,0,0,,2023-12-10 02:43:43,2023-12-10 02:43:43,fa,1,0,31,19,0,31,19,,0
372968078,377222747,5.115.247.222,0,0,,2023-12-10 02:43:20,2023-12-10 02:43:20,fa,0,0,31,18,0,31,18,,0
372968077,377222746,5.237.0.47,0,0,,2023-12-10 02:43:06,2023-12-10 02:43:06,fa,0,0,40,24,0,40,24,,0
372968076,377222745,46.143.0.206,0,0,,2023-12-10 02:42:27,2023-12-10 02:42:27,fa,1,0,37,18,0,37,18,,0
372968075,377222744,5.115.247.222,0,0,,2023-12-10 02:41:15,2023-12-10 02:41:15,fa,0,0,31,18,0,31,18,,0
372968074,377222743,5.112.124.203,0,0,,2023-12-10 02:41:07,2023-12-10 02:41:07,fa,1,0,32,15,0,32,15,,0
372968073,377222742,5.115.247.222,0,0,,2023-12-10 02:41:07,2023-12-10 02:41:07,fa,0,0,31,18,0,31,18,,0
372968072,377222741,188.229.18.138,0,0,,2023-12-10 02:41:00,2023-12-10 02:41:00,fa,1,0,40,24,0,40,24,,0
372968071,377222740,185.186.78.110,0,0,,2023-12-10 02:40:57,2023-12-10 02:40:57,fa,0,0,42,20,0,42,20,,0
372968070,377222739,89.196.181.46,0,0,,2023-12-10 02:40:55,2023-12-10 02:40:55,fa,0,0,47,0,0,70,0,,0
372968069,377222738,46.164.94.189,0,0,,2023-12-10 02:40:47,2023-12-10 02:40:47,fa,0,0,46,17,0,46,17,,0
372968068,377222737,5.208.234.130,0,0,,2023-12-10 02:40:46,2023-12-10 02:40:46,fa,1,0,38,25,0,38,25,,0
372968067,377222736,5.62.174.45,0,0,,2023-12-10 02:40:36,2023-12-10 02:40:36,fa,0,0,41,24,0,41,24,,0
372968066,377222735,5.127.167.7,0,0,,2023-12-10 02:40:34,2023-12-10 02:40:34,fa,0,0,45,17,0,45,17,,0
372968065,377222734,5.127.167.7,0,0,,2023-12-10 02:40:06,2023-12-10 02:40:06,fa,0,0,45,17,0,45,17,,0
372968064,377222733,86.55.197.68,0,0,,2023-12-10 02:40:03,2023-12-10 02:40:03,fa,0,0,48,25,0,48,25,,0
372968063,377222732,188.229.93.19,0,0,,2023-12-10 02:39:47,2023-12-10 02:39:47,fa,0,0,43,0,0,43,0,,0
372968062,377222731,94.130.34.138,0,0,,2023-12-10 02:38:24,2023-12-10 02:38:24,fa,0,0,39,16,0,39,16,,0
372968061,377222730,5.210.122.251,0,0,,2023-12-10 02:35:42,2023-12-10 02:35:42,fa,1,0,35,0,0,35,0,,0
372968060,377222729,204.18.223.69,0,0,,2023-12-10 02:35:13,2023-12-10 02:35:13,fa,0,0,31,19,0,31,19,,0
372968059,377222728,151.245.255.249,0,0,,2023-12-10 02:34:31,2023-12-10 02:34:31,fa,0,0,36,18,0,36,18,,0
372968058,377222727,37.156.52.41,0,0,,2023-12-10 02:32:59,2023-12-10 02:32:59,fa,0,0,34,19,0,34,19,,0
372968057,377222726,86.55.245.28,0,0,,2023-12-10 02:32:50,2023-12-10 02:32:50,fa,1,0,40,24,0,40,24,,0
372968056,377222725,204.18.154.252,0,0,,2023-12-10 02:32:44,2023-12-10 02:32:44,fa,0,0,38,20,0,38,20,,0
372968055,377222724,5.125.100.161,0,0,,2023-12-10 02:32:42,2023-12-10 02:32:42,fa,0,0,45,0,0,45,0,,0
372968054,377222723,95.64.49.71,0,0,,2023-12-10 02:32:31,2023-12-10 02:32:31,fa,0,0,29,15,0,29,15,,0
372968053,377222722,5.121.69.78,0,0,,2023-12-10 02:30:44,2023-12-10 02:30:44,fa,1,0,41,19,0,41,19,,0
372968052,377222721,86.55.37.15,0,0,,2023-12-10 02:30:34,2023-12-10 02:30:34,fa,0,0,32,19,0,32,19,,0
372968051,377222720,103.167.234.76,0,0,,2023-12-10 02:29:36,2023-12-10 02:29:36,fa,0,0,44,24,0,44,24,,0
372968050,377222719,5.74.164.39,0,0,,2023-12-10 02:29:21,2023-12-10 02:29:21,fa,0,0,38,19,0,38,19,,0
372968049,377222718,151.242.104.55,0,0,,2023-12-10 02:28:39,2023-12-10 02:28:39,fa,1,0,34,19,0,34,19,,0
372968048,377222717,5.126.213.167,0,0,,2023-12-10 02:27:55,2023-12-10 02:27:55,fa,0,0,33,18,0,33,18,,0
372968047,377222716,5.116.22.156,0,0,,2023-12-10 02:26:14,2023-12-10 02:26:14,fa,0,0,50,0,0,50,0,,0
372968046,377222715,65.109.217.208,0,0,,2023-12-10 02:25:04,2023-12-10 02:25:04,fa,0,0,48,0,0,70,0,,0
372968045,377222714,66.79.102.61,0,0,,2023-12-10 02:23:57,2023-12-10 02:23:57,fa,0,0,62,0,0,70,0,,0
372968044,377222713,86.55.114.248,0,0,,2023-12-10 02:22:52,2023-12-10 02:22:52,fa,0,0,29,16,0,29,16,,0
372968043,377222712,5.123.247.218,0,0,,2023-12-10 02:22:38,2023-12-10 02:22:38,fa,1,0,40,0,0,40,0,,0
372968042,377222711,5.210.45.72,0,0,,2023-12-10 02:21:14,2023-12-10 02:21:14,fa,0,0,43,20,0,43,20,,0
372968041,377222710,86.55.114.248,0,0,,2023-12-10 02:20:21,2023-12-10 02:20:21,fa,1,0,35,19,0,35,19,,0
372968040,377222709,5.122.29.87,0,0,,2023-12-10 02:20:14,2023-12-10 02:20:14,fa,0,0,31,18,0,31,18,,0
372968039,377222708,5.119.81.34,0,0,,2023-12-10 02:19:00,2023-12-10 02:19:00,fa,0,0,50,0,0,50,0,,0
372968038,377222707,5.125.186.100,0,0,,2023-12-10 02:18:24,2023-12-10 02:18:24,fa,0,0,32,15,0,32,15,,0
372968037,377222706,37.98.87.126,0,0,,2023-12-10 02:17:49,2023-12-10 02:17:49,fa,0,0,70,0,0,70,15,,0
372968036,377222705,204.18.209.139,0,0,,2023-12-10 02:17:18,2023-12-10 02:17:18,fa,0,0,40,24,0,40,24,,0
372968035,377222704,5.52.242.85,0,0,,2023-12-10 02:15:57,2023-12-10 02:15:57,fa,0,0,39,24,0,39,24,,0
372968034,377222703,23.150.248.50,0,0,,2023-12-10 02:15:51,2023-12-10 02:15:51,fa,1,0,35,19,0,35,19,,0
372968033,377222702,,0,0,"",2023-12-10 02:15:23,2023-12-10 02:15:23,fa,0,0,46,0,0,45,15,,0
372968032,377222701,5.125.87.123,0,0,,2023-12-10 02:14:10,2023-12-10 02:14:10,fa,0,0,29,20,0,29,20,,0
372968031,377222700,5.112.158.181,0,0,,2023-12-10 02:13:58,2023-12-10 02:13:58,fa,0,0,36,16,0,36,16,,0
372968030,377222699,109.125.160.51,0,0,,2023-12-10 02:13:13,2023-12-10 02:13:13,fa,0,0,66,0,0,66,0,,0
372968029,377222698,5.238.244.148,0,0,,2023-12-10 02:13:09,2023-12-10 02:13:09,fa,0,0,31,19,0,31,19,,0
372968028,377222697,89.198.23.35,0,0,,2023-12-10 02:12:48,2023-12-10 02:12:48,fa,0,0,38,17,0,38,17,,0
372968027,377222696,5.116.164.178,0,0,,2023-12-10 02:12:45,2023-12-10 02:12:45,fa,1,0,43,26,0,43,26,,0
372968026,377222695,178.131.130.178,0,0,,2023-12-10 02:12:34,2023-12-10 02:12:34,fa,0,0,35,19,0,35,19,,0
372968025,377222694,37.235.28.20,0,0,,2023-12-10 02:12:06,2023-12-10 02:12:06,fa,0,0,36,0,0,36,0,,0
372968024,377222693,86.55.53.213,0,0,,2023-12-10 02:11:10,2023-12-10 02:11:10,fa,0,0,45,20,0,45,20,,0
