id,vendor_id,created_by,update_by,description,created_at,updated_at,category
248749,89692,3814838,3814838,تغییر آدرس طبق نامه انجام شد,2023-12-09 18:34:46,2023-12-09 18:34:46,
248748,284670,3814838,3814838,تغییر شماره حساب طبق نامه انحام شد,2023-12-09 18:25:54,2023-12-09 18:25:54,
248747,49120,3814838,3814838,تغییر نام طبق نامه انجام شد,2023-12-09 18:10:00,2023-12-09 18:10:00,
248746,295554,3814838,3814838,تغییر آدرس طبق نامه انحام شد,2023-12-09 18:06:54,2023-12-09 18:06:54,
248745,299054,5383847,5383847,مدیریت اعلام کردند مشکل حساب برطرف شده و واریزی باز شود,2023-12-09 15:54:45,2023-12-09 15:54:45,
248744,312467,3814838,3814838,تغییر نام طبق نامه انحام شد,2023-12-09 15:31:17,2023-12-09 15:31:17,
248743,309232,3814838,3814838,تغییر نام طبق نامه انجام شد,2023-12-09 15:28:40,2023-12-09 15:28:40,
248742,323679,5383847,5383847,مدیریت اعلام کردند واریزی علی الحساب میخواهند داشته باشند,2023-12-09 14:58:44,2023-12-09 14:58:44,
248741,348667,3814838,3814838,تغییر شماره حساب طبق نامه انجام شد,2023-12-09 14:58:15,2023-12-09 14:58:15,
248740,104608,3814838,3814838,تغییر نام طبق نامه انجام شد,2023-12-09 14:53:34,2023-12-09 14:53:34,
248739,287507,3814838,3814838,تغییر شماره حساب طبق نامه انجام شد,2023-12-09 14:49:26,2023-12-09 14:49:26,
248738,306371,3814838,3814838,تغییر نام طبق نامه انجام شد,2023-12-09 14:03:27,2023-12-09 14:03:27,
248737,81259,3814838,3814838,تغییر شماره حساب طبق نامه انجام شد,2023-12-09 12:18:16,2023-12-09 12:18:16,
248736,288584,3814838,3814838,تغییر آدرس طبق نامه انحام شد,2023-12-09 12:14:52,2023-12-09 12:14:52,
248735,265773,14409875,14409875,با توجه به چرن بودن وندور و هماهنگی تیم کانتنت تا اول برج 10 کمیسیون 0 دارد,2023-12-09 12:01:11,2023-12-09 12:01:11,
248734,324721,3814838,3814838,تغییر شماره حساب  طبق نامه انجام شد,2023-12-09 11:55:34,2023-12-09 11:55:34,
248733,324721,3814838,3814838,تغییر شماره حساب مورد تایید است,2023-12-09 11:47:06,2023-12-09 11:47:06,
248732,327501,5034759,5034759,مدیریت درخواست واریز مبلغ به صورت ماهیانه دارند,2023-12-09 11:01:29,2023-12-09 11:01:29,
