id,city_id,area_id,terms_id,created_by,updated_by,title,description,logo_name,cover_name,address,security_code,postal_code,terms_validity,website,private_phone,customer_phone,order_email,order_fax,order_sms,preferred_contact,latitude,longitude,delivery_time,rating,position,status,budget,service_fee,min_order_value,active,accept_voucher,free_delivery,has_discount,delivery,online_payment,pickup,pre_order,deleted,vat_included,products_vat_enabled,delivery_vat_enabled,packaging_vat_enabled,vat_enabled,vat_visible,commission_rule,commission_type,created_at,updated_at,comment_for_order,delivery_commission_enabled,packaging_commission_enabled,old_id,disabled_from_datetime,disable_duration,manager,branch_title,vat,vendor_delivery_areas_text,english_title,online_delivery_enabled,order_inform,comment_for_manager,chain_id,vms_client_id,fidilio_enabled,fidilio_link,vendor_change_status_reason_id,delivery_type,delivery_description,main_branch,container_fee,closed_at_lunch,mqtt_token,recommended_for,establishment,most_popular_items,costs_for_two,capacity,service_price,parking_space,online_order,off_days,closed_until,vote_count,sort_index,container_price_type,picked_by,picked_at,vms_vendor_id,polygon_checked,delivery_guarantee,comment_count,call_phone,expedition_type,sales_agent_id,in_place_delivery,pre_order_status,sms_frequency,is_vegetarian,orders_count,food_average_price,express_shift,vms_status,pre_order_only,weekly_delivery_fee,vendor_type,has_dongle,reject_out_of_zone_order,express_delivery_time,fix_delivery_fee,performance_rank,express_delivery_fee_class_id,special_day_end_time,broker_type,trending_score,stock_enabled,exclusive_info,first_time_activated_at,webhook_url,static_map_name,max_delivery_radius,detailed_address,vendor_crisis_management_id,delay,vendor_type_id,pre_order_schedule_day,is_ecommerce,inform_client_id,inform_type,has_wallet,is_excluded,is_vip,cover_owner,discount_category_title,extra_info,uid
303017,5,401,1,16532032,16532032,فست فود ژیگو,,645a30fd0b9af.jpg,6476f48d05338.jpg,بلوار سجاد، انتهای بلوار، پلاک 486، فست فود ژیگو,209932,,2023-04-29,,09058103014,09058103014,,,,CUSTOMER_PHONE,36.3190203,59.5423536,45,8.4297520661157,1000,TEMPORARY_CLOSED,NORMAL,0,60000,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,13,PERCENTAGE,2023-04-29 15:04:03,2023-12-10 02:30:11,,0,1,,,,آقای برجسته,,0,,zhigo,1,PWA,,,,0,,,RESTAURANT,,0,0,1,,,FASTFOOD,,132222,,,,,,2023-12-10 23:59:59,809,,AMOUNT,13538025,2023-12-05 14:10:24,,0,0,809,989058103014,ZF_EXPRESS,11307980,1,TODAY_TOMORROW,,0,2019,91973,,OFFLINE,0,7877,RESTAURANT,0,0,45,,,,2023-10-03 23:59:00,,,0,"{""is_exclusive"":false,""grade"":null,""is_blocked"":false,""exclusive_type"":null,""start_date"":null,""end_date"":null,""exclusive_discount"":0,""cap_blocked"":false,""is_super_exclusive"":false}",2023-05-18 16:49:11,,,3500,,,0,4,,0,16,PUSH,1,0,,,,[],1009051
229636,3,865,1,6320486,12088340,فست فود دادلی,,647751e47b6f5.jpeg,,خیابان شهید فاتح، میدان ستارخان، مجتمع تجاری سهند، پلاک 40، طبقه همکف، فست فود دادلی,135335,,2017-01-01,,09146309592,04132667609,,,,CUSTOMER_PHONE,38.0994621,46.2771872,45,8.3165829145729,1000,ACTIVE,NORMAL,0,15000,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,13,PERCENTAGE,2022-02-10 18:22:48,2023-12-10 02:28:23,"",0,1,,,,آقای باقری,,0,,dadli,1,VMS,,,,0,,52,RESTAURANT,,0,0,1,,,FASTFOOD,,137832,50,,LOT,,,,723,,AMOUNT,1049361,2023-11-29 12:47:19,,0,0,723,989146309592,DELIVERY,156366,1,TODAY_TOMORROW,,0,1907,91247,,OFFLINE,0,31666,RESTAURANT,0,1,45,,,,2023-10-03 23:59:00,,,1,"{""is_exclusive"":false,""grade"":""D"",""is_blocked"":false,""exclusive_type"":null,""start_date"":null,""end_date"":null,""exclusive_discount"":null,""cap_blocked"":false,""is_super_exclusive"":false}",2022-02-13 22:40:50,,,-1,,,0,4,,0,1,PUSH,1,0,,,,[],788908
314771,7,401,1,5185256,5182666,پیتزا ستاره,,64b8031225598.jpg,,خیابان شریعتی جنوبی، بین بائینی و مریدی، پیتزا ستاره,220532,,2018-01-01,,09332135991,09025449545,,,,CUSTOMER_PHONE,31.303235,48.6779429,45,7.8307692307692,1000,ACTIVE,NORMAL,0,90000,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,13,PERCENTAGE,2023-06-26 10:08:39,2023-12-10 02:27:43,"",0,1,,,,آقای فرج زاده,,0,,setareh,1,PWA,,,,0,,,RESTAURANT,,0,0,1,,,FASTFOOD,,,,,,,,,99,,AMOUNT,391498,2023-11-29 12:16:30,,0,0,99,989025449545,ZF_EXPRESS,11307890,1,TODAY_TOMORROW,,0,477,162731,,OFFLINE,0,6492,RESTAURANT,0,1,45,,,,2023-10-03 23:59:00,,,0,"{""is_exclusive"":false,""grade"":null,""is_blocked"":false,""exclusive_type"":null,""start_date"":null,""end_date"":null,""exclusive_discount"":0,""cap_blocked"":false,""is_super_exclusive"":false}",2023-06-28 18:02:39,,,-1,,,0,4,,0,16,PUSH,1,0,,,,[],1044313
353551,1,591,1,5390049,5390049,محصولات شمال سید,,,,تهران، تهران، تهران، آذربایجان، ولی عصر، پاستور، مفید قبل از جاوید، ,,,2023-12-10,,09331049271,02133149523,,,,,35.691156,51.399248,,0,1000,PRE_REGISTERED,,0,0,1,0,0,0,0,0,1,1,0,0,1,1,1,1,1,0,PERCENTAGE,2023-12-10 02:23:22,2023-12-10 02:26:38,,1,1,,,,فاطمه ‌اسماعیل زاده,,9,,,1,CALLING,,,,0,,,RESTAURANT,,0,0,1,,,,,,,,,,,,,,AMOUNT,,,,0,0,0,,DELIVERY,,0,TODAY_TOMORROW,,0,,,,OFFLINE,0,,RESTAURANT,0,1,45,,,,,,,0,"{""is_exclusive"":false,""grade"":null,""is_blocked"":false,""exclusive_type"":null,""start_date"":null,""end_date"":null,""exclusive_discount"":null,""cap_blocked"":false}",,,,,,,0,47,,0,,,0,0,,,,[],
77488,1,2020,1,6948505,5182666,دونر کباب نشاط,,60d6f0c7e8bd1.jpg,,صادقیه، آیت الله کاشانی، بلوار اباذر، روبه روی بیمارستان پیامبران، پلاک 56، دونر کباب نشاط,112872,,2018-01-01,,09199136716,44052242,,,,CUSTOMER_PHONE,35.7340199,51.3266661,45,6.2569355527102,1000,ACTIVE,NORMAL,0,40000,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,14,PERCENTAGE,2021-06-26 13:47:59,2023-12-10 02:26:30,"",0,1,,,,آقای فاضل زاده,,0,,donerkababneshat,1,VMS,,,,0,,57,RESTAURANT,,0,0,1,,,FASTFOOD,,227152,0,0,SOME,,,,2165,,AMOUNT,,,,0,0,2165,982144052242,ZF_EXPRESS,4209189,1,TODAY_TOMORROW,,0,11002,154411,,OFFLINE,0,15994,RESTAURANT,0,0,45,,,,,,,0,"{""is_exclusive"":false,""grade"":""D"",""is_blocked"":false,""exclusive_type"":null,""start_date"":null,""end_date"":null,""exclusive_discount"":null,""cap_blocked"":false,""is_super_exclusive"":false}",2021-06-29 17:55:35,,,-1,,,0,4,,0,1,PUSH,1,0,,,,[],332464
51230,210,2537,1,3637885,7070147,آقای سیب زمینی,,5defa6f2c0659.jpeg,5eb3ecfcad345.jpg,خیابان 22 بهمن،  نبش کوچه پارک کودک، کوچه آقایان، اقای سیب زمینی,86953,,2017-01-01,,09124736351,02332234667,eftekhari_Ahf@yahoo.com,,,CUSTOMER_PHONE,36.42647514469,54.968842864037,45,7.3790546802595,1000,TEMPORARY_CLOSED,NORMAL,0,10000,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,15,PERCENTAGE,2019-12-10 17:38:50,2023-12-10 02:26:22,,0,1,,,,آقای افتخاری,,0,,aghayesibzamini,1,VMS,"تماس /امروز و فردا 11/1
اطلاع به دلیل کرونا 12/23
تعطیل هستند 5/19 تا 6/19 بررسی تیم اکانت",,,0,,54,RESTAURANT,,0,0,0,,,FASTFOOD,,168634,12,,LOT,,,2023-12-10 23:59:59,1049,,AMOUNT,3797154,2023-12-04 14:54:27,,0,1,1049,982332234667,DELIVERY,3397828,1,TODAY_TOMORROW,,0,0,96166,,OFFLINE,0,23625,RESTAURANT,0,1,45,,6455,,2023-09-14 23:59:00,,0.000031888,0,"{""is_exclusive"":false,""grade"":""B"",""is_blocked"":false,""exclusive_type"":null,""start_date"":null,""end_date"":null,""exclusive_discount"":null,""is_super_exclusive"":false}",2019-12-13 11:58:36,,,-1,,,0,4,,0,1,PUSH,1,0,0,,,,253690
324452,5,401,1,15494911,14308952,برگر هاوس,,64dcecba9b821.png,656b118337fe7.png,بین هنرستان ۲۷ و ۲۹، برگر هاوس,1584,,2023-08-10,,09015980117,05138686468,,,,CUSTOMER_PHONE,36.313504,59.499313,45,8.1967592592593,1000,ACTIVE,NORMAL,0,100000,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,13,PERCENTAGE,2023-08-10 17:07:50,2023-12-10 02:26:16,,0,1,,,,آقای سروی‌ طرقی,,0,,burgerhouse,1,VMS,,,,0,,56,RESTAURANT,,0,0,1,,,FASTFOOD,,,,,,,,,684,,AMOUNT,13263299,2023-12-09 22:05:31,,0,0,684,985138686468,DELIVERY,156366,1,TODAY_TOMORROW,,0,1664,131084,,OFFLINE,0,6282,RESTAURANT,0,1,45,,,,2023-10-03 23:59:00,,,1,"{""is_exclusive"":false,""grade"":null,""is_blocked"":false,""exclusive_type"":null,""start_date"":null,""end_date"":null,""exclusive_discount"":0,""cap_blocked"":false,""is_super_exclusive"":false}",2023-08-15 16:31:06,,,-1,,,0,4,,0,1,PUSH,1,0,,,,[],1073356
226255,1,197,1,7244099,15727280,نان سنتی قزوینی,,627fe028f1116.jpg,,نارمک، خیابان ثانی، سهیلیان جنوبی، میدان 85، کوچه بهار یک، نان سنتی قزوینی,152172,,2022-01-24,,09217629910 - (اولویت تماس) 09373754928,77842140 - 09217629910,,,,CUSTOMER_PHONE,35.7186892,51.4805189,45,9.377358490566,1000,TEMPORARY_CLOSED,NORMAL,0,8000,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,10,PERCENTAGE,2022-01-24 13:56:14,2023-12-10 02:26:16,,0,1,,,,آقای محمودی,,0,,nanghazvini85,1,PWA,,,,0,,,RESTAURANT,,0,2000,1,,,BAKERY,,143332,0,,NONE,,,2023-12-10 23:59:59,394,,AMOUNT,,,,0,0,394,982177842140,ZF_EXPRESS,1679708,0,TODAY_TOMORROW,,0,15,75800,,OFFLINE,0,10360,RESTAURANT,0,1,45,,,,,,,0,"{""is_exclusive"":true,""grade"":""D"",""is_blocked"":false,""exclusive_type"":""VENDOR_EXCLUSIVE_TYPE_COMMISSION"",""start_date"":""2022-05-11 08:08:10"",""end_date"":""2022-11-12 08:08:23"",""exclusive_discount"":null,""cap_blocked"":false,""is_super_exclusive"":false}",2022-05-26 18:04:09,,,-1,,,0,55,,0,16,PUSH,1,0,,,,[],778765
320039,1,1,1,5185256,5182666,فست فود لایک فود - شبانه,,64bb8282df31a.jpg,,انتهای اتوبان ستاری شمال، میدان دانشگاه حصارک، خیابان توحید، پاساژ رضا، فست فود لایک فود - شبانه,202713,,2018-01-01,,09213617561,09213617561 - 44881004 - 44881005,,,,CUSTOMER_PHONE,35.7825,51.313465,45,7.4647887323944,1000,ACTIVE,NORMAL,0,45000,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,13,STEPPED_BY_REVENUE,2023-07-22 10:47:22,2023-12-10 02:25:54,"",0,1,,,,آقای ‌دهقان امیری,,0,,likefood,1,VMS,,,,0,,,RESTAURANT,,0,0,1,,,FASTFOOD,,,,,SOME,,,,41,,AMOUNT,2486983,2023-12-02 11:45:25,,0,0,41,982144881005,DELIVERY,350649,1,TODAY_TOMORROW,,0,25,134009,,OFFLINE,0,29615,RESTAURANT,0,1,45,,,,,,,0,"{""is_exclusive"":false,""grade"":""D"",""is_blocked"":false,""exclusive_type"":null,""start_date"":null,""end_date"":null,""exclusive_discount"":0,""cap_blocked"":false,""is_super_exclusive"":false}",2023-07-29 14:09:17,,,-1,,,0,4,,0,1,PUSH,1,0,,,,[],1060117
353552,5,689,1,12969635,,سون,,,,"",,,2023-12-10,,09363100130,09363100130,,,,,,,,0,1000,PRE_REGISTERED,,0,0,1,0,0,0,0,0,1,1,0,0,1,1,1,1,1,0,PERCENTAGE,2023-12-10 02:25:50,2023-12-10 02:25:50,,1,1,,,,سون ‌اکبر,,9,,,1,CALLING,,,,0,,,RESTAURANT,,0,0,1,,,,,,,,,,,,,,AMOUNT,,,,0,0,0,,DELIVERY,,0,TODAY_TOMORROW,,0,,,,OFFLINE,0,,RESTAURANT,0,1,45,,,,,,,0,"{""is_exclusive"":false,""grade"":null,""is_blocked"":false,""exclusive_type"":null,""start_date"":null,""end_date"":null,""exclusive_discount"":null,""cap_blocked"":false}",,,,,,,0,53,,0,,,0,0,,,,[],
